"species","island","sex","year","bill_length_mm"
"Adelie","Torgersen","male",2007,39.1
"Adelie","Torgersen","female",2007,39.5
"Adelie","Torgersen","female",2007,40.3
"Adelie","Torgersen","female",2007,36.7
"Adelie","Torgersen","male",2007,39.3
"Adelie","Torgersen","female",2007,38.9
"Adelie","Torgersen","male",2007,39.2
"Adelie","Torgersen","female",2007,41.1
"Adelie","Torgersen","male",2007,38.6
"Adelie","Torgersen","male",2007,34.6
"Adelie","Torgersen","female",2007,36.6
"Adelie","Torgersen","female",2007,38.7
"Adelie","Torgersen","male",2007,42.5
"Adelie","Torgersen","female",2007,34.4
"Adelie","Torgersen","male",2007,46
"Adelie","Biscoe","female",2007,37.8
"Adelie","Biscoe","male",2007,37.7
"Adelie","Biscoe","female",2007,35.9
"Adelie","Biscoe","male",2007,38.2
"Adelie","Biscoe","male",2007,38.8
"Adelie","Biscoe","female",2007,35.3
"Adelie","Biscoe","male",2007,40.6
"Adelie","Biscoe","female",2007,40.5
"Adelie","Biscoe","female",2007,37.9
"Adelie","Biscoe","male",2007,40.5
"Adelie","Dream","female",2007,39.5
"Adelie","Dream","male",2007,37.2
"Adelie","Dream","female",2007,39.5
"Adelie","Dream","male",2007,40.9
"Adelie","Dream","female",2007,36.4
"Adelie","Dream","male",2007,39.2
"Adelie","Dream","male",2007,38.8
"Adelie","Dream","female",2007,42.2
"Adelie","Dream","female",2007,37.6
"Adelie","Dream","male",2007,39.8
"Adelie","Dream","female",2007,36.5
"Adelie","Dream","male",2007,40.8
"Adelie","Dream","female",2007,36
"Adelie","Dream","male",2007,44.1
"Adelie","Dream","female",2007,37
"Adelie","Dream","male",2007,39.6
"Adelie","Dream","male",2007,41.1
"Adelie","Dream","female",2007,36
"Adelie","Dream","male",2007,42.3
"Adelie","Biscoe","female",2008,39.6
"Adelie","Biscoe","male",2008,40.1
"Adelie","Biscoe","female",2008,35
"Adelie","Biscoe","male",2008,42
"Adelie","Biscoe","female",2008,34.5
"Adelie","Biscoe","male",2008,41.4
"Adelie","Biscoe","female",2008,39
"Adelie","Biscoe","male",2008,40.6
"Adelie","Biscoe","female",2008,36.5
"Adelie","Biscoe","male",2008,37.6
"Adelie","Biscoe","female",2008,35.7
"Adelie","Biscoe","male",2008,41.3
"Adelie","Biscoe","female",2008,37.6
"Adelie","Biscoe","male",2008,41.1
"Adelie","Biscoe","female",2008,36.4
"Adelie","Biscoe","male",2008,41.6
"Adelie","Biscoe","female",2008,35.5
"Adelie","Biscoe","male",2008,41.1
"Adelie","Torgersen","female",2008,35.9
"Adelie","Torgersen","male",2008,41.8
"Adelie","Torgersen","female",2008,33.5
"Adelie","Torgersen","male",2008,39.7
"Adelie","Torgersen","female",2008,39.6
"Adelie","Torgersen","male",2008,45.8
"Adelie","Torgersen","female",2008,35.5
"Adelie","Torgersen","male",2008,42.8
"Adelie","Torgersen","female",2008,40.9
"Adelie","Torgersen","male",2008,37.2
"Adelie","Torgersen","female",2008,36.2
"Adelie","Torgersen","male",2008,42.1
"Adelie","Torgersen","female",2008,34.6
"Adelie","Torgersen","male",2008,42.9
"Adelie","Torgersen","female",2008,36.7
"Adelie","Torgersen","male",2008,35.1
"Adelie","Dream","female",2008,37.3
"Adelie","Dream","male",2008,41.3
"Adelie","Dream","male",2008,36.3
"Adelie","Dream","female",2008,36.9
"Adelie","Dream","male",2008,38.3
"Adelie","Dream","female",2008,38.9
"Adelie","Dream","female",2008,35.7
"Adelie","Dream","male",2008,41.1
"Adelie","Dream","female",2008,34
"Adelie","Dream","male",2008,39.6
"Adelie","Dream","female",2008,36.2
"Adelie","Dream","male",2008,40.8
"Adelie","Dream","female",2008,38.1
"Adelie","Dream","male",2008,40.3
"Adelie","Dream","female",2008,33.1
"Adelie","Dream","male",2008,43.2
"Adelie","Biscoe","female",2009,35
"Adelie","Biscoe","male",2009,41
"Adelie","Biscoe","female",2009,37.7
"Adelie","Biscoe","male",2009,37.8
"Adelie","Biscoe","female",2009,37.9
"Adelie","Biscoe","male",2009,39.7
"Adelie","Biscoe","female",2009,38.6
"Adelie","Biscoe","male",2009,38.2
"Adelie","Biscoe","female",2009,38.1
"Adelie","Biscoe","male",2009,43.2
"Adelie","Biscoe","female",2009,38.1
"Adelie","Biscoe","male",2009,45.6
"Adelie","Biscoe","female",2009,39.7
"Adelie","Biscoe","male",2009,42.2
"Adelie","Biscoe","female",2009,39.6
"Adelie","Biscoe","male",2009,42.7
"Adelie","Torgersen","female",2009,38.6
"Adelie","Torgersen","male",2009,37.3
"Adelie","Torgersen","female",2009,35.7
"Adelie","Torgersen","male",2009,41.1
"Adelie","Torgersen","female",2009,36.2
"Adelie","Torgersen","male",2009,37.7
"Adelie","Torgersen","female",2009,40.2
"Adelie","Torgersen","male",2009,41.4
"Adelie","Torgersen","female",2009,35.2
"Adelie","Torgersen","male",2009,40.6
"Adelie","Torgersen","female",2009,38.8
"Adelie","Torgersen","male",2009,41.5
"Adelie","Torgersen","female",2009,39
"Adelie","Torgersen","male",2009,44.1
"Adelie","Torgersen","female",2009,38.5
"Adelie","Torgersen","male",2009,43.1
"Adelie","Dream","female",2009,36.8
"Adelie","Dream","male",2009,37.5
"Adelie","Dream","female",2009,38.1
"Adelie","Dream","male",2009,41.1
"Adelie","Dream","female",2009,35.6
"Adelie","Dream","male",2009,40.2
"Adelie","Dream","female",2009,37
"Adelie","Dream","male",2009,39.7
"Adelie","Dream","female",2009,40.2
"Adelie","Dream","male",2009,40.6
"Adelie","Dream","female",2009,32.1
"Adelie","Dream","male",2009,40.7
"Adelie","Dream","female",2009,37.3
"Adelie","Dream","male",2009,39
"Adelie","Dream","male",2009,39.2
"Adelie","Dream","female",2009,36.6
"Adelie","Dream","female",2009,36
"Adelie","Dream","male",2009,37.8
"Adelie","Dream","female",2009,36
"Adelie","Dream","male",2009,41.5
"Gentoo","Biscoe","female",2007,46.1
"Gentoo","Biscoe","male",2007,50
"Gentoo","Biscoe","female",2007,48.7
"Gentoo","Biscoe","male",2007,50
"Gentoo","Biscoe","male",2007,47.6
"Gentoo","Biscoe","female",2007,46.5
"Gentoo","Biscoe","female",2007,45.4
"Gentoo","Biscoe","male",2007,46.7
"Gentoo","Biscoe","female",2007,43.3
"Gentoo","Biscoe","male",2007,46.8
"Gentoo","Biscoe","female",2007,40.9
"Gentoo","Biscoe","male",2007,49
"Gentoo","Biscoe","female",2007,45.5
"Gentoo","Biscoe","male",2007,48.4
"Gentoo","Biscoe","female",2007,45.8
"Gentoo","Biscoe","male",2007,49.3
"Gentoo","Biscoe","female",2007,42
"Gentoo","Biscoe","male",2007,49.2
"Gentoo","Biscoe","female",2007,46.2
"Gentoo","Biscoe","male",2007,48.7
"Gentoo","Biscoe","male",2007,50.2
"Gentoo","Biscoe","female",2007,45.1
"Gentoo","Biscoe","female",2007,46.5
"Gentoo","Biscoe","male",2007,46.3
"Gentoo","Biscoe","female",2007,42.9
"Gentoo","Biscoe","male",2007,46.1
"Gentoo","Biscoe","male",2007,47.8
"Gentoo","Biscoe","female",2007,48.2
"Gentoo","Biscoe","male",2007,50
"Gentoo","Biscoe","male",2007,47.3
"Gentoo","Biscoe","female",2007,42.8
"Gentoo","Biscoe","female",2007,45.1
"Gentoo","Biscoe","male",2007,59.6
"Gentoo","Biscoe","female",2008,49.1
"Gentoo","Biscoe","male",2008,48.4
"Gentoo","Biscoe","female",2008,42.6
"Gentoo","Biscoe","male",2008,44.4
"Gentoo","Biscoe","female",2008,44
"Gentoo","Biscoe","male",2008,48.7
"Gentoo","Biscoe","female",2008,42.7
"Gentoo","Biscoe","male",2008,49.6
"Gentoo","Biscoe","female",2008,45.3
"Gentoo","Biscoe","male",2008,49.6
"Gentoo","Biscoe","male",2008,50.5
"Gentoo","Biscoe","female",2008,43.6
"Gentoo","Biscoe","female",2008,45.5
"Gentoo","Biscoe","male",2008,50.5
"Gentoo","Biscoe","female",2008,44.9
"Gentoo","Biscoe","male",2008,45.2
"Gentoo","Biscoe","female",2008,46.6
"Gentoo","Biscoe","male",2008,48.5
"Gentoo","Biscoe","female",2008,45.1
"Gentoo","Biscoe","male",2008,50.1
"Gentoo","Biscoe","female",2008,46.5
"Gentoo","Biscoe","male",2008,45
"Gentoo","Biscoe","female",2008,43.8
"Gentoo","Biscoe","male",2008,45.5
"Gentoo","Biscoe","female",2008,43.2
"Gentoo","Biscoe","male",2008,50.4
"Gentoo","Biscoe","female",2008,45.3
"Gentoo","Biscoe","male",2008,46.2
"Gentoo","Biscoe","female",2008,45.7
"Gentoo","Biscoe","male",2008,54.3
"Gentoo","Biscoe","female",2008,45.8
"Gentoo","Biscoe","male",2008,49.8
"Gentoo","Biscoe","male",2008,49.5
"Gentoo","Biscoe","female",2008,43.5
"Gentoo","Biscoe","male",2008,50.7
"Gentoo","Biscoe","female",2008,47.7
"Gentoo","Biscoe","male",2008,46.4
"Gentoo","Biscoe","male",2008,48.2
"Gentoo","Biscoe","female",2008,46.5
"Gentoo","Biscoe","female",2008,46.4
"Gentoo","Biscoe","male",2008,48.6
"Gentoo","Biscoe","female",2008,47.5
"Gentoo","Biscoe","male",2008,51.1
"Gentoo","Biscoe","female",2008,45.2
"Gentoo","Biscoe","male",2008,45.2
"Gentoo","Biscoe","female",2009,49.1
"Gentoo","Biscoe","male",2009,52.5
"Gentoo","Biscoe","female",2009,47.4
"Gentoo","Biscoe","male",2009,50
"Gentoo","Biscoe","female",2009,44.9
"Gentoo","Biscoe","male",2009,50.8
"Gentoo","Biscoe","female",2009,43.4
"Gentoo","Biscoe","male",2009,51.3
"Gentoo","Biscoe","female",2009,47.5
"Gentoo","Biscoe","male",2009,52.1
"Gentoo","Biscoe","female",2009,47.5
"Gentoo","Biscoe","male",2009,52.2
"Gentoo","Biscoe","female",2009,45.5
"Gentoo","Biscoe","male",2009,49.5
"Gentoo","Biscoe","female",2009,44.5
"Gentoo","Biscoe","male",2009,50.8
"Gentoo","Biscoe","male",2009,49.4
"Gentoo","Biscoe","female",2009,46.9
"Gentoo","Biscoe","female",2009,48.4
"Gentoo","Biscoe","male",2009,51.1
"Gentoo","Biscoe","female",2009,48.5
"Gentoo","Biscoe","male",2009,55.9
"Gentoo","Biscoe","female",2009,47.2
"Gentoo","Biscoe","male",2009,49.1
"Gentoo","Biscoe","male",2009,46.8
"Gentoo","Biscoe","female",2009,41.7
"Gentoo","Biscoe","male",2009,53.4
"Gentoo","Biscoe","female",2009,43.3
"Gentoo","Biscoe","male",2009,48.1
"Gentoo","Biscoe","female",2009,50.5
"Gentoo","Biscoe","male",2009,49.8
"Gentoo","Biscoe","female",2009,43.5
"Gentoo","Biscoe","male",2009,51.5
"Gentoo","Biscoe","female",2009,46.2
"Gentoo","Biscoe","male",2009,55.1
"Gentoo","Biscoe","male",2009,48.8
"Gentoo","Biscoe","female",2009,47.2
"Gentoo","Biscoe","female",2009,46.8
"Gentoo","Biscoe","male",2009,50.4
"Gentoo","Biscoe","female",2009,45.2
"Gentoo","Biscoe","male",2009,49.9
"Chinstrap","Dream","female",2007,46.5
"Chinstrap","Dream","male",2007,50
"Chinstrap","Dream","male",2007,51.3
"Chinstrap","Dream","female",2007,45.4
"Chinstrap","Dream","male",2007,52.7
"Chinstrap","Dream","female",2007,45.2
"Chinstrap","Dream","female",2007,46.1
"Chinstrap","Dream","male",2007,51.3
"Chinstrap","Dream","female",2007,46
"Chinstrap","Dream","male",2007,51.3
"Chinstrap","Dream","female",2007,46.6
"Chinstrap","Dream","male",2007,51.7
"Chinstrap","Dream","female",2007,47
"Chinstrap","Dream","male",2007,52
"Chinstrap","Dream","female",2007,45.9
"Chinstrap","Dream","male",2007,50.5
"Chinstrap","Dream","male",2007,50.3
"Chinstrap","Dream","female",2007,58
"Chinstrap","Dream","female",2007,46.4
"Chinstrap","Dream","male",2007,49.2
"Chinstrap","Dream","female",2007,42.4
"Chinstrap","Dream","male",2007,48.5
"Chinstrap","Dream","female",2007,43.2
"Chinstrap","Dream","male",2007,50.6
"Chinstrap","Dream","female",2007,46.7
"Chinstrap","Dream","male",2007,52
"Chinstrap","Dream","female",2008,50.5
"Chinstrap","Dream","male",2008,49.5
"Chinstrap","Dream","female",2008,46.4
"Chinstrap","Dream","male",2008,52.8
"Chinstrap","Dream","female",2008,40.9
"Chinstrap","Dream","male",2008,54.2
"Chinstrap","Dream","female",2008,42.5
"Chinstrap","Dream","male",2008,51
"Chinstrap","Dream","male",2008,49.7
"Chinstrap","Dream","female",2008,47.5
"Chinstrap","Dream","female",2008,47.6
"Chinstrap","Dream","male",2008,52
"Chinstrap","Dream","female",2008,46.9
"Chinstrap","Dream","male",2008,53.5
"Chinstrap","Dream","male",2008,49
"Chinstrap","Dream","female",2008,46.2
"Chinstrap","Dream","male",2008,50.9
"Chinstrap","Dream","female",2008,45.5
"Chinstrap","Dream","female",2009,50.9
"Chinstrap","Dream","male",2009,50.8
"Chinstrap","Dream","female",2009,50.1
"Chinstrap","Dream","male",2009,49
"Chinstrap","Dream","male",2009,51.5
"Chinstrap","Dream","female",2009,49.8
"Chinstrap","Dream","female",2009,48.1
"Chinstrap","Dream","male",2009,51.4
"Chinstrap","Dream","female",2009,45.7
"Chinstrap","Dream","male",2009,50.7
"Chinstrap","Dream","female",2009,42.5
"Chinstrap","Dream","male",2009,52.2
"Chinstrap","Dream","female",2009,45.2
"Chinstrap","Dream","male",2009,49.3
"Chinstrap","Dream","male",2009,50.2
"Chinstrap","Dream","female",2009,45.6
"Chinstrap","Dream","male",2009,51.9
"Chinstrap","Dream","female",2009,46.8
"Chinstrap","Dream","female",2009,45.7
"Chinstrap","Dream","male",2009,55.8
"Chinstrap","Dream","female",2009,43.5
"Chinstrap","Dream","male",2009,49.6
"Chinstrap","Dream","male",2009,50.8
"Chinstrap","Dream","female",2009,50.2
